Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/04  14:00:00,1.387236594,5.874583641,0,5.8497959,0,0.149491559,0.149491559,0.149491559,0.121932142,0.026267417,0.317847783,0.359872426,0.395181267
 01/04  15:00:00,1.348967885,5.784963258,0,5.758779761,0,0.14741473,0.14741473,0.14741473,0.128349577,0.027649903,0.292642171,0.380136245,0.356131259
 01/04  16:00:00,1.425019316,5.819034112,0,5.791395147,0,0.148096985,0.148096985,0.148096985,0.160436991,0.034562383,0.302863616,0.401266965,0.361148375
 01/04  17:00:00,1.722240094,5.557505556,0,5.524813504,0,0.141354296,0.141354296,0.141354296,0.269534103,0.058064812,0.353720743,0.474628493,0.408293646
 01/04  18:00:00,2.321368964,6.498206978,0,6.45849136,0,0.165517464,0.165517464,0.165517464,0.500563357,0.107834641,0.445069937,0.576597765,0.509141799
 01/04  19:00:00,2.708931475,5.177006992,0,5.133887818,0,0.130988478,0.130988478,0.130988478,0.744427561,0.160369476,0.398283704,0.626011142,0.602207114
 01/04  20:00:00,2.679553749,4.95760926,0,4.913101794,0,0.124667899,0.124667899,0.124667899,0.789349925,0.170046944,0.315345897,0.646166599,0.617332486
 01/04  21:00:00,2.479649799,5.139421455,0,5.093383881,0,0.12983702,0.12983702,0.12983702,0.680252812,0.146544516,0.275874928,0.668380946,0.562115577
 01/04  22:00:00,2.252805799,5.37527948,0,5.330316713,0,0.135966736,0.135966736,0.135966736,0.5711557,0.123042104,0.258342283,0.652776722,0.494878255
 01/04  23:00:00,1.841081252,5.663792367,0,5.624882854,0,0.143432734,0.143432734,0.143432734,0.429971094,0.092627195,0.205880856,0.564894597,0.387630776
 01/04  24:00:00,1.430780648,6.181407214,0,6.147595572,0,0.156837116,0.156837116,0.156837116,0.295204003,0.063594789,0.135920782,0.490882893,0.271697066
